"ZPID","Zestimate","Year Built","Last Sold Date","Last Sold Price","Floors","Basement","Bathrooms","Bedrooms","Finished SQFT","Lot Size SQFT","Home Type","Roof","View","Parking","Heating Sources","Heating System"
"48842334",1337003,"2017","03/19/2018","1049000","2","Finished","1.5","2","1230","4500","SingleFamily","Composition","Territorial","Garage - Attached, Off-street","Gas","Forced air"
"84755631",900925,"2008","07/21/2017","810000","2","Finished","1.1","3","1424","1306","SingleFamily","Composition","Territorial","Off-street","Gas","Forced air, Radiant"
"48690025",920145,"1913","12/01/2017","850000","2","Finished","1.0","4","1860","3600","SingleFamily","Asphalt","City, Mountain, Territorial","Garage - Attached","Gas","Forced air"
"48690268",964272,"1906","10/31/2017","900000","3","Finished","1.0","3","1520","3500","SingleFamily","Composition","City, Mountain, Water","Garage - Attached","Electric","Forced air, Radiant"
"49127337",1838639,"2008","09/07/2017","1660000","3","Finished","4.0","3","3180","2813","Townhouse","Other","City, Mountain, Water","Garage - Attached","Electric, Gas","Forced air"
"48963513",1038261,"1925","07/07/2017","1010000","2","Finished","1.0","2","1550","3120","SingleFamily","Metal","Water","Garage - Attached","Electric, Gas","Forced air"
"65228623",1015799,"2005","06/21/2017","940000","2","Partially finished","3.0","3","1320","1306","SingleFamily","Composition","Mountain","Garage - Attached","Electric, Oil","Forced air"
"63925716",927515,"2004","07/14/2017","888888","4","Finished","2.0","3","1540","974","SingleFamily","Composition","City, Mountain, Water","Garage - Attached","Electric, Gas","Radiant"
"70583419",1202371,"2006","10/20/2017","1220000","2","Finished","4.0","3","1670","1420","SingleFamily","Composition","Territorial","Garage - Attached, Off-street","Gas","Forced air"
"48689873",921225,"1919","04/06/2018","903000","2","Finished","1.0","2","2180","2613","SingleFamily","Composition","Territorial","Off-street","Gas","Forced air, Radiant"
"49013467",1381465,"1921","03/07/2018","1358735","2","Finished","2.0","3","1420","5000","SingleFamily","Asphalt","City, Mountain, Territorial","Garage - Attached","Gas","Forced air"
"48689896",1330748,"1911","06/29/2017","1175000","3","Finished","2.0","4","2024","4000","SingleFamily","Composition","City, Mountain, Water","Garage - Attached","Electric","Forced air, Radiant"
"48690160",1347749,"1915","09/15/2017","1217000","3","Finished","3.0","4","2420","2613","Townhouse","Other","City, Mountain, Water","Garage - Attached","Electric, Gas","Forced air"
"49127356",823476,"2002","08/15/2017","735000","2","Finished","1.1","2","1070","1306","SingleFamily","Metal","Water","Garage - Attached","Electric, Gas","Forced air"
"84633173",899012,"2008","12/06/2017","834000","2","Partially finished","3.0","3","1600","1037","SingleFamily","Composition","Mountain","Garage - Attached","Electric, Oil","Forced air"
"49013448",1637746,"1988","05/11/2018","1400000","4","Finished","3.0","4","3361","3998","SingleFamily","Composition","City, Mountain, Water","Garage - Attached","Electric, Gas","Radiant"
"48776068",879123,"1926","09/22/2017","880000","2","Finished","2.0","2","1475","3230","SingleFamily","Composition","Territorial","Garage - Attached, Off-street","Gas","Forced air"
"48690317",1619618,"1924","11/06/2017","1489000","2","Finished","3.0","3","3120","3920","SingleFamily","Composition","Territorial","Off-street","Gas","Forced air, Radiant"
"247769336",1117396,"2017","06/22/2017","979950","2","Finished","2.0","2","1840","1661","SingleFamily","Asphalt","City, Mountain, Territorial","Garage - Attached","Gas","Forced air"
"48689935",950245,"1905","08/18/2017","850000","2","Finished","2.0","3","1900","3500","SingleFamily","Metal","Water","Garage - Attached","Electric, Gas","Forced air"
"48749852",1470918,"1927","02/16/2018","1410000","2","Partially finished","2.5","4","3190","3998","SingleFamily","Composition","Mountain","Garage - Attached","Electric, Oil","Forced air"
"48758445",1756264,"1908","10/30/2017","1604000","4","Finished","3.0","3","2700","5227","SingleFamily","Composition","City, Mountain, Water","Garage - Attached","Electric, Gas","Radiant"
"48758446",1823434,"1919","08/16/2017","1650000","2","Finished","2.0","6","3787","5400","SingleFamily","Composition","Territorial","Garage - Attached, Off-street","Gas","Forced air"
"49014832",1964292,"1907","08/10/2017","1741000","2","Finished","3.1","5","3630","6098","SingleFamily","Composition","Territorial","Off-street","Gas","Forced air, Radiant"
"48818553",1122333,"1912","11/16/2017","1033500","2","Finished","1.5","3","1640","3484","SingleFamily","Asphalt","City, Mountain, Territorial","Garage - Attached","Gas","Forced air"
"48818693",1731367,"1912","08/07/2017","1549000","3","Finished","4.0","5","3800","5384","SingleFamily","Composition","City, Mountain, Water","Garage - Attached","Electric","Forced air, Radiant"
"48818580",1079289,"1911","08/14/2017","1151500","3","Finished","2.1","6","3110","4791","Townhouse","Other","City, Mountain, Water","Garage - Attached","Electric, Gas","Forced air"
"48749401",2404484,"1927","06/28/2017","2300000","2","Partially finished","4.0","3","3160","5850","SingleFamily","Composition","Mountain","Garage - Attached","Electric, Oil","Forced air"
"48749412",1819723,"1923","07/17/2017","1615000","4","Finished","2.0","4","2800","3900","SingleFamily","Composition","City, Mountain, Water","Garage - Attached","Electric, Gas","Radiant"
"48818726",1275242,"1914","11/06/2017","1035000","2","Finished","2.0","4","2520","5401","SingleFamily","Composition","Territorial","Garage - Attached, Off-street","Gas","Forced air"
"48818553",1122333,"1912","11/16/2017","1033500","2","Finished","1.5","3","1640","3484","SingleFamily","Composition","Territorial","Off-street","Gas","Forced air, Radiant"
"48953499",1471931,"1918","10/24/2017","1350000","2","Finished","3.0","3","3000","3998","SingleFamily","Asphalt","City, Mountain, Territorial","Garage - Attached","Gas","Forced air"
"48953607",1104514,"1918","07/07/2017","975000","3","Finished","3.0","3","2250","4000","SingleFamily","Composition","City, Mountain, Water","Garage - Attached","Electric","Forced air, Radiant"
"48953480",989900,"1917","06/09/2017","850000","3","Finished","1.5","3","1530","4223","Townhouse","Other","City, Mountain, Water","Garage - Attached","Electric, Gas","Forced air"
"49013461",1693159,"1919","11/15/2017","1540000","2","Finished","3.0","4","3580","4281","SingleFamily","Metal","Water","Garage - Attached","Electric, Gas","Forced air"
"241741651",1070571,"2015","02/16/2018","1024000","2","Partially finished","2.5","3","1710","1474","SingleFamily","Composition","Mountain","Garage - Attached","Electric, Oil","Forced air"
"48879037",1436207,"1925","01/25/2018","1080000","4","Finished","1.5","4","2270","4004","SingleFamily","Composition","City, Mountain, Water","Garage - Attached","Electric, Gas","Radiant"
"48690268",964272,"1906","10/31/2017","900000","2","Finished","1.0","3","1520","3500","SingleFamily","Composition","Territorial","Garage - Attached, Off-street","Gas","Forced air"
"48776068",879123,"1926","09/22/2017","880000","2","Finished","2.0","2","1475","3230","SingleFamily","Asphalt","City, Mountain, Territorial","Garage - Attached","Gas","Forced air"
"48776076",1447075,"2013","05/31/2017","1265000","3","Finished","3.0","3","2021","1572","SingleFamily","Composition","City, Mountain, Water","Garage - Attached","Electric","Forced air, Radiant"
"48690189",1253303,"1907","12/13/2017","1150000","3","Finished","3.0","4","2160","3402","Townhouse","Other","City, Mountain, Water","Garage - Attached","Electric, Gas","Forced air"
"70585183",978010,"2008","02/23/2018","961200","2","Finished","3.0","3","1616","871","SingleFamily","Metal","Water","Garage - Attached","Electric, Gas","Forced air"
"247769336",1117396,"2017","06/22/2017","979950","2","Partially finished","2.0","2","1840","1661","SingleFamily","Composition","Mountain","Garage - Attached","Electric, Oil","Forced air"
"48749503",1066784,"1924","05/18/2018","1048000","4","Finished","2.0","2","1810","3149","SingleFamily","Composition","City, Mountain, Water","Garage - Attached","Electric, Gas","Radiant"
"48749401",2404484,"1927","06/28/2017","2300000","2","Finished","4.0","3","3160","5850","SingleFamily","Metal","Water","Garage - Attached","Electric, Gas","Forced air"
"49014832",1964292,"1907","08/10/2017","1741000","2","Partially finished","3.1","5","3630","6098","SingleFamily","Composition","Mountain","Garage - Attached","Electric, Oil","Forced air"
"48689873",921225,"1919","04/06/2018","903000","4","Finished","1.0","2","2180","2613","SingleFamily","Composition","City, Mountain, Water","Garage - Attached","Electric, Gas","Radiant"
"48963698",1411607,"2017","09/19/2017","1479950","2","Finished","3.0","3","2121","1502","SingleFamily","Composition","Territorial","Garage - Attached, Off-street","Gas","Forced air"
"48963670",1203359,"1997","09/07/2017","1091000","2","Finished","3.0","2","2330","1742","SingleFamily","Composition","Territorial","Off-street","Gas","Forced air, Radiant"
"48963686",1144882,"1918","04/13/2018","1110000","2","Finished","3.0","4","2290","2561","SingleFamily","Asphalt","City, Mountain, Territorial","Garage - Attached","Gas","Forced air"
"48963498",2502359,"1985","11/17/2017","2132000","3","Finished","4.0","5","3730","6969","SingleFamily","Composition","City, Mountain, Water","Garage - Attached","Electric","Forced air, Radiant"
"48690317",1619618,"1924","11/06/2017","1489000","3","Finished","3.0","3","3120","3920","Townhouse","Other","City, Mountain, Water","Garage - Attached","Electric, Gas","Forced air"
"247769150",1200322,"2017","10/18/2017","1080000","2","Finished","2.5","2","1710","1441","SingleFamily","Metal","Water","Garage - Attached","Electric, Gas","Forced air"
"247769108",1200483,"2017","11/17/2017","1125000","2","Partially finished","2.5","2","1710","1441","SingleFamily","Composition","Mountain","Garage - Attached","Electric, Oil","Forced air"
"123726573",2225358,"2017","05/30/2017","1925000","4","Finished","2.5","2","2120","1841","SingleFamily","Composition","City, Mountain, Water","Garage - Attached","Electric, Gas","Radiant"
"2102797912",963165,"2017","07/25/2017","1089000","2","Finished","2.1","2","1421","871","SingleFamily","Asphalt","City, Mountain, Territorial","Garage - Attached","Gas","Forced air"
"48771165",1738707,"1910","11/09/2017","1530000","3","Finished","4.0","4","3600","5501","SingleFamily","Composition","City, Mountain, Water","Garage - Attached","Electric","Forced air, Radiant"
"48835116",2159754,"1910","10/03/2017","1926500","4","Finished","2.0","4","2680","4950","SingleFamily","Composition","City, Mountain, Water","Garage - Attached","Electric, Gas","Radiant"
"48771093",1854421,"1909","11/30/2017","1685000","2","Finished","2.0","4","3740","5662","SingleFamily","Composition","Territorial","Garage - Attached, Off-street","Gas","Forced air"
"63562293",1432502,"2008","02/16/2018","1375000","2","Finished","3.0","2","2259","1955","SingleFamily","Composition","Territorial","Off-street","Gas","Forced air, Radiant"
"247769151",1355816,"2017","09/25/2017","1240000","2","Finished","2.0","2","1640","1395","SingleFamily","Asphalt","City, Mountain, Territorial","Garage - Attached","Gas","Forced air"
"247769165",1137048,"2017","01/30/2018","1080000","3","Finished","1.5","2","1610","1298","SingleFamily","Composition","City, Mountain, Water","Garage - Attached","Electric","Forced air, Radiant"
"247769166",923737,"2017","06/14/2017","1050000","3","Finished","2.0","2","1480","1018","Townhouse","Other","City, Mountain, Water","Garage - Attached","Electric, Gas","Forced air"
"247769382",962264,"2017","04/05/2018","939950","2","Finished","1.5","3","1540","1320","SingleFamily","Metal","Water","Garage - Attached","Electric, Gas","Forced air"
"247769303",974434,"2017","02/28/2018","939950","2","Partially finished","1.5","3","1540","1319","SingleFamily","Composition","Mountain","Garage - Attached","Electric, Oil","Forced air"
"247769258",959863,"2017","03/26/2018","930000","4","Finished","1.5","3","1540","1015","SingleFamily","Composition","City, Mountain, Water","Garage - Attached","Electric, Gas","Radiant"
"247765798",963802,"2017","02/16/2018","929950","2","Finished","1.5","3","1540","817","SingleFamily","Composition","Territorial","Garage - Attached, Off-street","Gas","Forced air"
"247769164",1126326,"2017","12/22/2017","1030000","2","Finished","1.5","2","1800","1201","SingleFamily","Asphalt","City, Mountain, Territorial","Garage - Attached","Gas","Forced air"
"247769151",1355816,"2017","09/25/2017","1240000","3","Finished","2.0","2","1640","1395","SingleFamily","Composition","City, Mountain, Water","Garage - Attached","Electric","Forced air, Radiant"
"247769150",1200322,"2017","10/18/2017","1080000","3","Finished","2.5","2","1710","1441","Townhouse","Other","City, Mountain, Water","Garage - Attached","Electric, Gas","Forced air"
"48771176",1796939,"1924","02/27/2018","1735000","2","Finished","4.0","3","3450","5662","SingleFamily","Metal","Water","Garage - Attached","Electric, Gas","Forced air"
"48770421",966896,"1949","05/31/2017","830000","2","Partially finished","2.5","2","1720","5000","SingleFamily","Composition","Mountain","Garage - Attached","Electric, Oil","Forced air"
"48938761",1829957,"2006","06/22/2017","1599000","4","Finished","4.0","6","3420","4400","SingleFamily","Composition","City, Mountain, Water","Garage - Attached","Electric, Gas","Radiant"
"48771139",1531543,"1907","07/10/2017","1025000","2","Finished","2.1","7","4120","5662","SingleFamily","Composition","Territorial","Garage - Attached, Off-street","Gas","Forced air"
